Gemeinde name,Gem. lat,Gem. lng,PLZ
Straning-Grafenberg 3722 Gemeindeamt,48.61107,15.863730000000034,3722
Hagenbrunn 2102 Gemeindeamt,48.33248829999999,16.406054100000006,2102
Rußbach 3702 Gemeindeamt,48.45025,16.038199099999932,3702
Gerasdorf bei Wien 2201 Gemeindeamt,48.2951655,16.471001300000008,2201
Gedersdorf 3494 Gemeindeamt,48.41519453386082,15.68959992291002,3494
Mautern an der Donau 3512 Gemeindeamt,48.39389129999999,15.57675599999993,3512
Straß im Straßertale 3491 Gemeindeamt,48.472747,15.734912200000052,3491
Hainfeld 3170 Gemeindeamt,48.034787200000004,15.773168299999952,3170
Ramsau 3172 Gemeindeamt,48.00284620000001,15.803268600000026,3172
Dorfstetten 4392 Gemeindeamt,48.326853299999996,14.983075600000005,4392
Klein-Pöchlarn 3660 Gemeindeamt,48.2194063307229,15.220238457469804,3660
Nöchling 3691 Gemeindeamt,48.22529,14.980639999999996,3691
St. Oswald 3684 Gemeindeamt,48.2676396,15.038767799999961,3684
Altlichtenwarth 2144 Gemeindeamt,48.6455592,16.796334300000012,2144
Gnadendorf 2152 Gemeindeamt,48.6153894,16.398725000000013,2152
Laa an der Thaya 2136 Gemeindeamt,48.7209839,16.385164400000008,2136
Ulrichskirchen-Schleinbach 2122 Gemeindeamt,48.40103999999999,16.49302,2122
Hennersdorf 2332 Gemeindeamt,48.1100578,16.366490500000054,2332
Aspang-Markt 2870 Gemeindeamt,47.553618900000004,16.089638899999954,2870
Grünbach am Schneeberg 2733 Gemeindeamt,47.798160643087634,15.985508430307164,2733
St. Egyden am Steinfeld 2731 Gemeindeamt,47.781668329699,16.103623496681053,2731
Willendorf 2732 Gemeindeamt,47.7904224,16.052884800000015,2732
Herzogenburg 3130 Gemeindeamt,48.2882135,15.693733000000064,3130
Neulengbach 3040 Gemeindeamt,48.200402600000004,15.909542699999975,3040
Perschling 3142 Gemeindeamt,48.25945,15.795849999999973,3142
Randegg 3263 Gemeindeamt,48.010417499999996,14.975659400000039,3263
Judenau-Baumgarten 3441 Gemeindeamt,48.28503,16.010070000000038,3441
Muckendorf-Wipfing 3426 Gemeindeamt,48.332414552141955,16.155197571021972,3426
Windigsteig 3841 Gemeindeamt,48.765831799999994,15.285330799999995,3841
Markt Piesting 2753 Gemeindeamt,47.87379179999999,16.121360600000006,2753
Allentsteig 3804 Gemeindeamt,48.69555030000001,15.329417199999964,3804
Schwarzenau 3900 Gemeindeamt,48.74308019999999,15.25950069999999,3900
Braunau am Inn 5280 Gemeindeamt,48.2578131,13.035486200000035,5280
Burgkirchen 5274 Gemeindeamt,48.2032545,13.100222499999974,5274
Eggelsberg 5142 Gemeindeamt,48.0780067,12.991731100000038,5142
Feldkirchen bei Mattighofen 5143 Gemeindeamt,48.0674699,13.045196799999983,5143
Franking 5131 Gemeindeamt,48.051488299999995,12.9105773,5131
Geretsberg 5132 Gemeindeamt,48.0896814,12.938097900000002,5132
Alkoven 4072 Gemeindeamt,48.2879073,14.107082499999931,4072
St. Leonhard bei Freistadt 4294 Gemeindeamt,48.44236739999999,14.676553499999955,4294
Laakirchen 4663 Gemeindeamt,47.982936106509726,13.822144043221554,4663
Hofkirchen an der Trattnach 4716 Gemeindeamt,48.222124799999996,13.740377299999974,4716
Wendling 4741 Gemeindeamt,48.2315128,13.66658469999993,4741
Vorderstoder 4574 Gemeindeamt,47.71265349999999,14.224838299999988,4574
Pucking 4055 Gemeindeamt,48.188733299999996,14.187994099999967,4055
Ried in der Riedmark 4312 Gemeindeamt,48.27040239999999,14.528289699999961,4312
Neuhofen im Innkreis 4912 Gemeindeamt,48.1884851,13.473750300000004,4912
Afiesl 4184 Gemeindeamt,48.56564602624626,14.13002479319425,4184
Oepping 4151 Gemeindeamt,48.6028171,13.944421199999963,4151
Mayrhof 4777 Gemeindeamt,48.3469464,13.501411899999995,4777
Dietach 4407 Gemeindeamt,48.0910061,14.416482999999975,4407
Gallneukirchen 4210 Gemeindeamt,48.353896399999996,14.415470899999946,4210
Marchtrenk 4614 Gemeindeamt,48.1911903,14.114968800000042,4614
Sankt Peter im Sulmtal 8542 Gemeindeamt,46.757453000000005,15.249711299999944,8542
Wettmannstätten 8521 Gemeindeamt,46.82979879999999,15.384675300000026,8521
Deutschlandsberg 8530 Gemeindeamt,46.8141442,15.212358099999962,8530
Eibiswald 8552 Gemeindeamt,46.6883735,15.246426400000017,8552
Groß Sankt Florian 8522 Gemeindeamt,46.823656299999996,15.316432200000007,8522
Sankt Martin im Sulmtal 8543 Gemeindeamt,46.7569027,15.29471669999998,8543
Wies 8551 Gemeindeamt,46.71848088700047,15.270493488741069,8551
Hart bei Graz 8075 Gemeindeamt,47.04487887325029,15.51947613547918,8075
Kalsdorf bei Graz 8401 Gemeindeamt,46.96438000000001,15.478725700000037,8401
Peggau 8120 Gemeindeamt,47.2056107,15.343446900000005,8120
Stattegg 8046 Gemeindeamt,47.1375233,15.419617900000048,8046
Vasoldsberg 8076 Gemeindeamt,47.0157489,15.557080499999984,8076
Deutschfeistritz 8121 Gemeindeamt,47.1990564,15.335119999999963,8121
Frohnleiten 8130 Gemeindeamt,47.2719205,15.328673500000036,8130
Raaba-Grambach 8074 Gemeindeamt,47.0313618,15.497822300000053,8074
Allerheiligen bei Wildon 8412 Gemeindeamt,46.91551831107748,15.553532737705948,8412
Gralla 8431 Gemeindeamt,46.8147846,15.554102400000033,8431
Großklein 8452 Gemeindeamt,46.737224,15.442477599999961,8452
Hengsberg 8411 Gemeindeamt,46.868506,15.450894500000004,8411
Lang 8403 Gemeindeamt,46.838134499999995,15.502454899999973,8403
Oberhaag 8455 Gemeindeamt,46.686176700000004,15.333426700000016,8455
Sankt Andrä-Höch 8444 Gemeindeamt,46.790865000000004,15.378237300000027,8444
Sankt Johann im Saggautal 8453 Gemeindeamt,46.7032545,15.400973600000045,8453
Sankt Nikolai im Sausal 8505 Gemeindeamt,46.82105079999999,15.450129199999992,8505
