gemeinde,specialization,N_total_yearly_patients,N_unique_yearly_patients,total_weekly_hours,N_total_quarterly_patients,N_unique_quarterly_patients,capacity_total_flat,capacity_unique_flat,capacity_total_hour-based,capacity_unique_hour-based,capacity_total_max,capacity_unique_max,adj_index
91001,AM,14718,5396,20.0,3680,1349,4048,1484,7192,2999,5206,2123,152
41422,AM,13182,6359,19.66,3296,1590,3626,1749,7187,2272,5206,2123,153
31309,KI,24237,7950,21.0,6059,1988,6665,2187,24570,17405,6059,1988,154
10721,CH,20381,7541,22.0,5095,1885,5604,2074,5095,1885,5095,1885,155
62379,AM,15353,11996,21.0,3838,2999,4222,3299,7192,2999,5206,2999,156
70513,URO,51,51,20.0,13,13,14,14,2134,1721,2134,1721,157
40301,IM,11204,5462,20.0,2801,1366,3081,1503,7076,5050,2801,1853,158
41012,AM,17447,6727,14.0,4362,1682,4798,1850,4780,1758,4362,2123,159
32326,DER,64,64,20.55555555555556,16,16,18,18,4572,1716,5717,2000,160
41344,AM,9235,4794,18.125,2309,1198,2540,1318,7187,2272,5206,2123,161
10601,AM,9733,7092,23.0,2433,1773,2676,1950,7192,2999,5206,1773,162
40301,AM,12722,5378,20.0,3180,1344,3498,1478,7192,2999,5206,2123,163
41022,NEU,3027,1983,20.7,757,496,833,546,2760,1131,2760,1131,164
31213,GGH,19335,8039,22.0,4834,2010,5317,2211,4834,2010,4834,2010,165
30740,AM,2655,1643,32.0,664,411,730,452,8749,2697,5206,2123,166
62040,AM,16752,4438,12.0,4188,1110,4607,1221,4780,1758,4188,2123,167
91001,GGH,5121,3671,20.0,1280,918,1408,1010,4834,2010,3886,1675,168
20201,RAD,4434,3760,22.0,1108,940,1219,1034,6351,2690,4630,2410,169
62040,KI,98282,69621,24.5,24570,17405,27027,19146,24570,17405,24570,17405,170
30908,AM,6063,4050,20.0,1516,1012,1668,1113,7192,2999,5206,2123,171
61108,AM,327,120,20.0,82,30,90,33,7192,2999,5206,2123,172
92201,AM,14504,5856,20.0,3626,1464,3989,1610,7192,2999,5206,2123,173
91901,AM,32757,9089,18.0,8189,2272,9008,2499,8189,2272,8189,2272,174
60654,AM,2327,956,22.5,582,239,640,263,7192,2999,5206,2123,175
80414,AM,12339,4227,19.0,3085,1057,3394,1163,7187,2272,5206,2123,176
10504,AM,8516,4193,20.0,2129,1048,2342,1153,7192,2999,5206,2123,177
20719,AM,11535,7829,20.0,2884,1957,3172,2153,7192,2999,5206,1957,178
91601,AM,5081,1676,20.0,1270,419,1397,461,7192,2999,5206,2123,179
91901,AM,5492,2435,20.0,1373,609,1510,670,7192,2999,5206,2123,180
91001,AM,14923,5112,17.928571428571427,3731,1278,4104,1406,7187,2272,5206,2123,181
41344,AM,20960,19577,36.5,5240,4894,5764,5383,5240,4894,5240,4894,182
70101,AM,8370,5807,15.0,2092,1452,2301,1597,7187,2272,5206,2123,183
62219,AM,7528,3790,15.0,1882,948,2070,1043,7187,2272,5206,2123,184
30201,ORTR,67,67,20.55555555555556,17,17,19,19,5467,1935,5043,1879,185
10101,HNO,460,460,20.0,115,115,127,127,5086,3280,4052,2834,186
50101,DER,27446,9138,19.6,6862,2284,7548,2512,6862,2284,6862,2284,187
30401,AM,6912,4839,19.75,1728,1210,1901,1331,7187,2272,5206,2123,188
62139,AU,13,13,1.5,3,3,3,3,3,3,4477,2642,189
30401,AM,22315,8237,21.538461538461537,5579,2059,6137,2265,5579,2999,5579,2059,190
70310,HNO,20346,13122,22.0,5086,3280,5595,3608,5086,3280,5086,3280,191
80404,CH,15079,6246,20.0,3770,1562,4147,1718,5095,1885,3770,1758,192
30710,IM,14463,8839,20.0,3616,2210,3978,2431,7076,2210,3616,2210,193
90201,AU,3366,1522,17.833333333333332,842,380,926,418,1134,911,4477,2642,194
40426,KI,5553,4605,20.0,1388,1151,1527,1266,24570,17405,15314,9696,195
70101,AM,9468,4757,21.05,2367,1189,2604,1308,7192,2999,5206,2123,196
90101,AM,2773,1898,20.0,693,474,762,521,7192,2999,5206,2123,197
91601,IM,93,93,24.0,23,23,25,25,7076,5050,3664,1853,198
50616,GGH,105,103,22.0,26,26,29,29,4834,2010,3886,1675,199
